Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,125.15,3,41.717,19.9,57.28,252.429
host,runtime,BinaryGetFunctionByEntry,1327,14,94.786,0.76,199.3,3550.42
host,runtime,BinaryGetFunctionByName,84.64,1,84.64,84.64,84.64,0
host,runtime,BinaryLoadFromData,2943.62,12,245.302,32.2,577.87,39378.642
host,acl,BroadcastTo_Tiling,62.57,2,31.285,17.85,44.72,180.499
host,runtime,CallbackLaunch,41.58,2,20.79,17.76,23.82,9.181
host,acl,Cast_Tiling,161.07,6,26.845,12.92,48.15,130.805
host,runtime,ContextGetCurrent,0.97,1,0.97,0.97,0.97,0
host,runtime,CtxGetSysParamOpt,77.27,187,0.413,0.21,3.98,0.18
host,runtime,CtxSetSysParamOpt,3.2,2,1.6,0.57,2.63,1.061
host,runtime,DevFree,26.34,5,5.268,1.8,9.42,8.273
host,runtime,DevMalloc,246.51,5,49.302,11.01,103.39,1121.816
host,runtime,DeviceReset,1.69,1,1.69,1.69,1.69,0
host,runtime,DeviceSynchronize,129.74,4,32.435,24.25,42.05,50.65
host,runtime,EventCreateEx,4.63,2,2.315,1.24,3.39,1.156
host,runtime,EventDestroy,6.38,2,3.19,2.26,4.12,0.865
host,runtime,EventRecord,85.53,4,21.383,7.8,42.29,171.657
host,acl,Fill_Tiling,98.56,3,32.853,11.73,44.64,224.098
host,acl,FloorMod_Tiling,43.88,1,43.88,43.88,43.88,0
host,runtime,HostFree,19.78,5,3.956,1.64,12.08,16.605
host,runtime,HostMalloc,18.63,5,3.726,1.44,12.05,17.36
host,runtime,KernelLaunchWithHandle,736.68,2,368.34,15.62,721.06,124411.398
host,runtime,LaunchKernelV2,246.91,20,12.346,5.53,23.59,19.662
host,runtime,LaunchRandomNumTask,252.47,5,50.494,39,84.76,295.863
host,runtime,MemCopySync,35.59,1,35.59,35.59,35.59,0
host,runtime,MemcpyAsync,126.45,17,7.438,1.44,38.89,76.891
host,acl,Muls_Tiling,37.82,2,18.91,11.08,26.74,61.309
