Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1783953216019321.780	,1783953216019321.780	
0,N/A,TASK_TIMEOUT_SET,49,4,121.702,1783953216913276.620	,1783953216913398.322	
0,N/A,MEMCPY_ASYNC,46,0,2.100,1783953217057906.950	,1783953217057909.050	
0,N/A,DSA_SQE,46,1,299.424,1783953217057966.592	,1783953217058266.016	
0,Cast_f5adc6eec859fba24c87ef45958ded66_high_performance_210010000,AI_VECTOR_CORE,46,2,18.760,1783953217059409.080	,1783953217059427.840	
0,N/A,MEMCPY_ASYNC,46,3,2.080,1783953217060403.800	,1783953217060405.880	
0,N/A,DSA_SQE,46,4,75.542,1783953217060430.760	,1783953217060506.302	
0,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210010000,AI_VECTOR_CORE,46,5,8.760,1783953217060835.568	,1783953217060844.328	
0,Muls_299cf4d7f9ef0f745d89d88c666b45aa_high_performance_210010000,AI_VECTOR_CORE,46,6,8.240,1783953217062414.880	,1783953217062423.120	
0,N/A,MEMCPY_ASYNC,46,7,2.360,1783953217062614.564	,1783953217062616.924	
0,N/A,DSA_SQE,46,8,149.244,1783953217062658.784	,1783953217062808.028	
0,Cast_f5adc6eec859fba24c87ef45958ded66_high_performance_210010000,AI_VECTOR_CORE,46,9,7.120,1783953217062808.048	,1783953217062815.168	
0,N/A,MEMCPY_ASYNC,46,10,2.280,1783953217062815.208	,1783953217062817.488	
0,N/A,DSA_SQE,46,11,38.300,1783953217062817.648	,1783953217062855.948	
0,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210000000,AI_VECTOR_CORE,46,12,9.060,1783953217062857.288	,1783953217062866.348	
0,Muls_299cf4d7f9ef0f745d89d88c666b45aa_high_performance_210000000,AI_VECTOR_CORE,46,13,6.580,1783953217062922.070	,1783953217062928.650	
0,ZerosLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,14,1.640,1783953217101012.032	,1783953217101013.672	
0,N/A,MEMCPY_ASYNC,46,15,2.140,1783953217101181.834	,1783953217101183.974	
0,N/A,DSA_SQE,46,16,1.540,1783953217101217.936	,1783953217101219.476	
0,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210000000,AI_VECTOR_CORE,46,17,1.280,1783953217101288.116	,1783953217101289.396	
0,Range_int32_double_high_performance__kernel0,AI_VECTOR_CORE,46,18,7.360,1783953217103834.208	,1783953217103841.568	
0,Add_9342884c99c006e21fc9d5d9260b8bef_high_performance_223000000,AI_VECTOR_CORE,46,19,1.620,1783953217109551.162	,1783953217109552.782	
0,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,46,20,1.580,1783953217115974.870	,1783953217115976.450	
0,FloorMod_9342884c99c006e21fc9d5d9260b8bef_high_precision_210000000,AI_VECTOR_CORE,46,21,2.220,1783953217118673.584	,1783953217118675.804	
0,N/A,MEMCPY_ASYNC,46,22,1.880,1783953217118803.006	,1783953217118804.886	
0,Fill_1fbc7ee619b707282bbfd034093621df_high_performance_210000000,AI_VECTOR_CORE,46,23,1.260,1783953217120921.908	,1783953217120923.168	
0,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,46,24,1.240,1783953217121072.732	,1783953217121073.972	
0,Fill_1fbc7ee619b707282bbfd034093621df_high_performance_223000000,AI_VECTOR_CORE,46,25,1.440,1783953217121141.992	,1783953217121143.432	
0,Range_int32_double_high_performance__kernel0,AI_VECTOR_CORE,46,26,4.000,1783953217121201.854	,1783953217121205.854	
0,N/A,MEMCPY_ASYNC,46,27,0.560,1783953217121249.996	,1783953217121250.556	
