Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Add_Tiling,121.93,3,40.643,19.32,55.17,237.301
host,runtime,BinaryGetFunctionByEntry,1273.71,14,90.979,0.77,168.41,2746.505
host,runtime,BinaryGetFunctionByName,91.83,1,91.83,91.83,91.83,0
host,runtime,BinaryLoadFromData,2938.64,12,244.887,31.7,591.83,40033.151
host,acl,BroadcastTo_Tiling,61.91,2,30.955,16.9,45.01,197.543
host,runtime,CallbackLaunch,91.08,4,22.77,17.02,33.28,42.358
host,acl,Cast_Tiling,148.13,6,24.688,12.56,45.06,109.697
host,runtime,ContextGetCurrent,0.5,1,0.5,0.5,0.5,0
host,runtime,CtxGetSysParamOpt,78.1,187,0.418,0.23,3.93,0.163
host,runtime,CtxSetSysParamOpt,2.78,2,1.39,0.67,2.11,0.518
host,runtime,DevFree,26.43,5,5.286,1.82,10.1,10.598
host,runtime,DevMalloc,237.16,5,47.432,9.06,101.72,1151.067
host,runtime,DeviceReset,2.31,1,2.31,2.31,2.31,0
host,runtime,DeviceSynchronize,101.61,4,25.402,17.54,37.63,57
host,acl,Fill_Tiling,96.58,3,32.193,11.51,43.61,214.671
host,acl,FloorMod_Tiling,43.72,1,43.72,43.72,43.72,0
host,runtime,HostFree,18.78,5,3.756,1.51,10.98,13.122
host,runtime,HostMalloc,16.86,5,3.372,1.53,10.04,11.152
host,runtime,KernelLaunchWithHandle,700.82,2,350.41,16.11,684.71,111756.49
host,runtime,LaunchKernelV2,258.55,20,12.928,5.78,23.9,18.96
host,runtime,LaunchRandomNumTask,274.7,5,54.94,45.01,87.09,260.017
host,runtime,MemCopySync,34.62,1,34.62,34.62,34.62,0
host,runtime,MemcpyAsync,130.05,17,7.65,1.43,39.55,76.327
host,acl,Muls_Tiling,39.28,2,19.64,12.01,27.27,58.217
host,runtime,ProcessReport,1045984.53,15,69732.302,249.49,107994.75,2272851194.381
host,acl,Range_Tiling,37.17,2,18.585,15.18,21.99,11.594
host,runtime,RegisterAllKernel,110.65,1,110.65,110.65,110.65,0
host,runtime,SetDevice,209.81,5,41.962,15.85,67.18,323.594
host,runtime,SetStreamMode,28.92,34,0.851,0.66,1.54,0.036
host,runtime,StreamCreate,38828.02,34,1142.001,956.67,2753.64,158567.741
host,runtime,StreamDestroy,1497.28,1,1497.28,1497.28,1497.28,0
host,runtime,StreamSyncTaskFinish,0,4,0,0,0,0
host,runtime,StreamSynchronize,10.73,1,10.73,10.73,10.73,0
host,runtime,SubscribeReport,103.63,2,51.815,27.57,76.06,587.82
host,runtime,UnSubscribeReport,48.4,2,24.2,13.04,35.36,124.546
host,acl,ZerosLike_Tiling,27.25,1,27.25,27.25,27.25,0
host,acl,aclmdlRICaptureGetInfo,14.07,15,0.938,0.27,3.18,0.887
host,acl,aclnnAdd,2557.06,2,1278.53,79.13,2477.93,1438560.36
host,acl,aclnnAddGetWorkspaceSize,1410.97,2,705.485,39.04,1371.93,444148.938
host,acl,aclnnAdds,2450.05,1,2450.05,2450.05,2450.05,0
host,acl,aclnnAddsGetWorkspaceSize,3146.83,1,3146.83,3146.83,3146.83,0
host,acl,aclnnArange,389,2,194.5,60.72,328.28,17897.088
host,acl,aclnnArangeGetWorkspaceSize,2331.82,2,1165.91,24,2307.82,1303958.448
host,acl,aclnnInplaceCopy,513.92,4,128.48,18.59,386.9,22701.123
host,acl,aclnnInplaceCopyGetWorkspaceSize,380.36,4,95.09,17.96,280.88,11598.881
host,acl,aclnnInplaceFillScalar,4177.26,3,1392.42,56.32,2106.28,893980.642
host,acl,aclnnInplaceFillScalarGetWorkspaceSize,4139.62,3,1379.873,32.45,2861.24,1342645.886
host,acl,aclnnInplaceNormal,813.06,3,271.02,128.3,517.1,30535.885
host,acl,aclnnInplaceNormalGetWorkspaceSize,392.4,3,130.8,38.55,312.23,16459.993
host,acl,aclnnInplaceRandom,1672.99,2,836.495,160.25,1512.74,457307.3
host,acl,aclnnInplaceRandomGetWorkspaceSize,134770.65,2,67385.325,35.4,134735.25,4536012397.506
host,acl,aclnnInplaceZero,479.39,1,479.39,479.39,479.39,0
host,acl,aclnnInplaceZeroGetWorkspaceSize,1459.38,1,1459.38,1459.38,1459.38,0
host,acl,aclnnMuls,558.52,2,279.26,58.15,500.37,48889.632
host,acl,aclnnMulsGetWorkspaceSize,1304.66,2,652.33,28.85,1275.81,388727.31
host,acl,aclnnRemainderTensorScalar,4860.16,1,4860.16,4860.16,4860.16,0
host,acl,aclnnRemainderTensorScalarGetWorkspaceSize,6749.31,1,6749.31,6749.31,6749.31,0
host,acl,aclrtBinaryLoadFromData,2992.54,12,249.378,34.85,598.61,40428.807
host,acl,aclrtCreateStreamWithConfig,39056.56,34,1148.722,962.45,2781.86,161210.237
host,acl,aclrtCtxGetSysParamOpt,352.36,187,1.884,1.26,14.42,2.189
host,acl,aclrtCtxSetSysParamOpt,14.26,2,7.13,2.93,11.33,17.64
host,acl,aclrtDestroyStreamForce,1504.6,1,1504.6,1504.6,1504.6,0
host,acl,aclrtFree,38.02,5,7.604,3.32,13.24,15.962
host,acl,aclrtFreeHost,29.75,5,5.95,2.54,17.54,33.71
host,acl,aclrtGetCurrentContext,6.71,1,6.71,6.71,6.71,0
host,acl,aclrtGetResInCurrentThread,41.53,42,0.989,0.28,3.17,0.619
host,acl,aclrtGetStreamAttribute,28.7,26,1.104,0.51,3.58,0.351
host,acl,aclrtLaunchCallback,106.19,4,26.548,19.23,36.09,42.67
host,acl,aclrtLaunchKernelWithHostArgs,335.8,20,16.79,8.85,30.19,26.119
host,acl,aclrtMalloc,33.2,2,16.6,13.18,20.02,11.696
host,acl,aclrtMallocHost,25.96,5,5.192,2.44,15.02,24.239
host,acl,aclrtMemcpy,39.14,1,39.14,39.14,39.14,0
host,acl,aclrtMemcpyAsync,221.06,17,13.004,3.3,49.89,123.653
host,acl,aclrtProcessReport,1046036.21,15,69735.747,251.34,107999.05,2272874114.149
host,acl,aclrtRandomNumAsync,297.47,5,59.494,48.21,94.14,302.405
host,acl,aclrtResetDevice,7.86,1,7.86,7.86,7.86,0
host,acl,aclrtSetDevice,322.55,5,64.51,19.64,103.52,923.23
host,acl,aclrtSetOpExecuteTimeOutV2,1251.42,1,1251.42,1251.42,1251.42,0
host,acl,aclrtSetStreamFailureMode,133.13,34,3.916,3.4,6.14,0.264
host,acl,aclrtSynchronizeDeviceWithTimeout,118.19,4,29.548,21.68,42.11,57.958
host,acl,aclrtSynchronizeStream,13.86,1,13.86,13.86,13.86,0
host,node,launch,3027.93,27,112.146,13.56,697.47,17172.044
