Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1,46,aclnnInplaceRandom_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1783954075614076.550	,299.344,0,0,0,NO,N/A,N/A,N/A,"""8,2048,192""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,2,46,aclnnInplaceRandom_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783954075615371.774	,18.282,995.906000,40,0,NO,"""8,2048,192""",FLOAT,ND,"""8,2048,192""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.211,1023205,0.976,0.069,1.884,0.133,8.625,0.607,5.854,0.412,0.063,0.000
0,4294967295,4,46,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1783954075616436.176	,75.362,1046.218000,0,0,NO,N/A,N/A,N/A,"""8,64,1536""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,5,46,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783954075616841.444	,8.040,329.888000,40,0,NO,"""8,64,1536""",FLOAT,ND,"""8,64,1536""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.024,433740,0.256,0.043,0.192,0.032,3.168,0.526,1.196,0.198,0.17,0.000
0,4294967295,6,46,aclnnMuls_Muls_Muls,Muls,dynamic,AI_VECTOR_CORE,1783954075618445.256	,7.700,1595.710000,40,0,NO,"""8,64,1536""",DT_BF16,NCL,"""8,64,1536""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.974,430101,0.627,0.105,0.202,0.034,2.238,0.375,1.148,0.192,0.147,0.000
0,4294967295,8,46,aclnnInplaceRandom_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1783954075618691.842	,149.082,238.800000,0,0,NO,N/A,N/A,N/A,"""8,768,256""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,9,46,aclnnInplaceRandom_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783954075618840.944	,7.120,0.168000,40,0,NO,"""8,768,256""",FLOAT,ND,"""8,768,256""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.11,367924,0.488,0.095,0.723,0.142,3.933,0.77,2.4,0.47,0.0,0.000
0,4294967295,11,46,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1783954075618850.524	,38.242,2.380000,0,0,NO,N/A,N/A,N/A,"""8,24,2048""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,12,46,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783954075618893.326	,8.260,4.508000,40,0,NO,"""8,24,2048""",FLOAT,ND,"""8,24,2048""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.467,465622,0.108,0.017,0.162,0.025,2.424,0.375,0.59,0.091,0.124,0.000
0,4294967295,13,46,aclnnMuls_Muls_Muls,Muls,dynamic,AI_VECTOR_CORE,1783954075618956.806	,6.220,55.240000,40,0,NO,"""8,24,2048""",DT_BF16,NCL,"""8,24,2048""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.153,299029,0.304,0.073,0.168,0.04,1.003,0.241,0.394,0.095,0.13,0.000
0,4294967295,14,46,aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,ZerosLike,dynamic,AI_VECTOR_CORE,1783954075657304.714	,1.560,38341.780000,2,0,NO,"""1,2048""",DT_BF16,ND,"""1,2048""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.898,3232,0.055,0.061,0.22,0.245,0.001,0.001,0.139,0.155,0.201,0.000
0,4294967295,16,46,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1783954075657501.778	,1.580,195.440000,0,0,NO,N/A,N/A,N/A,"""1,2048""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,17,46,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1783954075657572.938	,1.380,69.670000,2,0,NO,"""1,2048""",FLOAT,ND,"""1,2048""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761,2741,0.031,0.041,0.289,0.38,0.256,0.336,0.147,0.193,0.0,0.000
0,4294967295,18,46,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1783954075660106.830	,8.000,2532.370000,40,0,NO,""";;""",DOUBLE;DOUBLE;DOUBLE,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.011,288812,0.026,0.006,0.2,0.05,0.217,0.054,0.023,0.006,0.302,0.000
0,4294967295,19,46,aclnnAdds_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783954075665939.166	,1.680,5824.500000,1,0,NO,"""8;""",INT32;INT32,ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.176,2116,0.031,0.026,0.258,0.219,0.179,0.153,0.115,0.098,0.176,0.000
0,4294967295,20,46,aclnnRemainderTensorScalar_BroadcastToAiCore_BroadcastTo,BroadcastTo,dynamic,AI_VECTOR_CORE,1783954075672631.738	,1.420,6690.820000,1,0,NO,""";1""",INT32;INT64,ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916,1648,0.031,0.034,0.294,0.321,0.126,0.137,0.126,0.137,0.211,0.000
0,4294967295,21,46,aclnnRemainderTensorScalar_FloorModAiCore_FloorMod,FloorMod,dynamic,AI_VECTOR_CORE,1783954075675408.754	,2.140,2775.580000,1,0,NO,"""8;8""",INT32;INT32,ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.627,2929,0.259,0.159,0.401,0.247,0.223,0.137,0.109,0.067,0.231,0.000
0,4294967295,23,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1783954075677670.020	,1.440,2259.110000,1,0,NO,"""1;""",INT64;INT32,ND;ND,"""1""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917,1650,0.008,0.008,0.226,0.246,0.098,0.107,0.12,0.131,0.25,0.000
0,4294967295,24,46,aclnnInplaceCopy_BroadcastToAiCore_BroadcastTo,BroadcastTo,dynamic,AI_VECTOR_CORE,1783954075677819.962	,1.240,148.560000,1,0,NO,"""1,1;2""",INT32;INT64,ND;ND,"""1,2""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,1273,0.034,0.049,0.287,0.406,0.088,0.125,0.103,0.145,0.164,0.000
0,4294967295,25,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1783954075677888.024	,1.460,66.760000,1,0,NO,"""2;""",INT64;INT32,ND;ND,"""1,8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915,1647,0.028,0.031,0.278,0.304,0.118,0.129,0.113,0.124,0.164,0.000
0,4294967295,26,46,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1783954075677945.706	,3.980,56.290000,40,0,NO,""";;""",DOUBLE;DOUBLE;DOUBLE,ND;ND;ND,"""2""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.229,160499,0.016,0.007,1.055,0.473,1.118,0.502,0.007,0.003,0.0,0.000
0,4294967295,28,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1783954075679985.666	,1.440,2036.020000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""1,8""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876,1577,0.028,0.032,0.291,0.332,0.109,0.124,0.117,0.134,0.178,0.000
0,4294967295,36,46,fused_moe_small_bs_w4a16_bf16,fused_moe_small_bs_w4a16_bf16,dynamic,MIX_AIV,1783954075683706.860	,46.842,3719.560000,40,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.787,3224666,4.78,0.107,8.947,0.2,1.679,0.037,1.333,0.03,0.096,0.000
0,4294967295,41,46,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783954075688071.728	,1.980,4318.158000,2,0,NO,"""1,2048;1,2048""",DT_BF16;DT_BF16,ND;ND,"""1,2048""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.396,5024,0.099,0.071,0.216,0.155,0.364,0.261,0.127,0.091,0.177,0.000
0,4294967295,49,46,fused_moe_small_bs_w4a16_bf16,fused_moe_small_bs_w4a16_bf16,dynamic,MIX_AIV,1783954076188790.092	,41.582,500716.270000,40,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.073,2885285,4.778,0.119,8.479,0.212,1.432,0.036,1.495,0.037,0.0,0.000
0,4294967295,54,46,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1783954076189142.738	,2.120,311.168000,2,0,NO,"""1,2048;1,2048""",DT_BF16;DT_BF16,ND;ND,"""1,2048""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.431,5151,0.099,0.069,0.289,0.202,0.371,0.259,0.133,0.093,0.169,0.000
