Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1783954074578076.110	,1783954074578076.110	
0,N/A,TASK_TIMEOUT_SET,49,4,127.662,1783954075472974.450	,1783954075473102.112	
0,N/A,MEMCPY_ASYNC,46,0,2.100,1783954075614024.988	,1783954075614027.088	
0,N/A,DSA_SQE,46,1,299.344,1783954075614076.550	,1783954075614375.894	
0,Cast_f5adc6eec859fba24c87ef45958ded66_high_performance_210010000,AI_VECTOR_CORE,46,2,18.282,1783954075615371.774	,1783954075615390.056	
0,N/A,MEMCPY_ASYNC,46,3,2.100,1783954075616399.436	,1783954075616401.536	
0,N/A,DSA_SQE,46,4,75.362,1783954075616436.176	,1783954075616511.538	
0,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210010000,AI_VECTOR_CORE,46,5,8.040,1783954075616841.444	,1783954075616849.484	
0,Muls_299cf4d7f9ef0f745d89d88c666b45aa_high_performance_210010000,AI_VECTOR_CORE,46,6,7.700,1783954075618445.256	,1783954075618452.956	
0,N/A,MEMCPY_ASYNC,46,7,2.160,1783954075618643.060	,1783954075618645.220	
0,N/A,DSA_SQE,46,8,149.082,1783954075618691.842	,1783954075618840.924	
0,Cast_f5adc6eec859fba24c87ef45958ded66_high_performance_210010000,AI_VECTOR_CORE,46,9,7.120,1783954075618840.944	,1783954075618848.064	
0,N/A,MEMCPY_ASYNC,46,10,2.300,1783954075618848.084	,1783954075618850.384	
0,N/A,DSA_SQE,46,11,38.242,1783954075618850.524	,1783954075618888.766	
0,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210000000,AI_VECTOR_CORE,46,12,8.260,1783954075618893.326	,1783954075618901.586	
0,Muls_299cf4d7f9ef0f745d89d88c666b45aa_high_performance_210000000,AI_VECTOR_CORE,46,13,6.220,1783954075618956.806	,1783954075618963.026	
0,ZerosLike_1c4543fdfe7149b6b0717bd88f061562_high_performance_210000000,AI_VECTOR_CORE,46,14,1.560,1783954075657304.714	,1783954075657306.274	
0,N/A,MEMCPY_ASYNC,46,15,2.140,1783954075657460.376	,1783954075657462.516	
0,N/A,DSA_SQE,46,16,1.580,1783954075657501.778	,1783954075657503.358	
0,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210000000,AI_VECTOR_CORE,46,17,1.380,1783954075657572.938	,1783954075657574.318	
0,Range_int32_double_high_performance__kernel0,AI_VECTOR_CORE,46,18,8.000,1783954075660106.830	,1783954075660114.830	
0,Add_9342884c99c006e21fc9d5d9260b8bef_high_performance_223000000,AI_VECTOR_CORE,46,19,1.680,1783954075665939.166	,1783954075665940.846	
0,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,46,20,1.420,1783954075672631.738	,1783954075672633.158	
0,FloorMod_9342884c99c006e21fc9d5d9260b8bef_high_precision_210000000,AI_VECTOR_CORE,46,21,2.140,1783954075675408.754	,1783954075675410.894	
0,N/A,MEMCPY_ASYNC,46,22,1.960,1783954075675531.978	,1783954075675533.938	
0,Fill_1fbc7ee619b707282bbfd034093621df_high_performance_210000000,AI_VECTOR_CORE,46,23,1.440,1783954075677670.020	,1783954075677671.460	
0,BroadcastTo_c71434db8135ff9089d65053721e3417_high_performance_232000000,AI_VECTOR_CORE,46,24,1.240,1783954075677819.962	,1783954075677821.202	
0,Fill_1fbc7ee619b707282bbfd034093621df_high_performance_223000000,AI_VECTOR_CORE,46,25,1.460,1783954075677888.024	,1783954075677889.484	
0,Range_int32_double_high_performance__kernel0,AI_VECTOR_CORE,46,26,3.980,1783954075677945.706	,1783954075677949.686	
0,N/A,MEMCPY_ASYNC,46,27,0.580,1783954075677992.066	,1783954075677992.646	
0,Fill_f2e41efad1a938074b5e381afcc7acf3_high_performance_223000000,AI_VECTOR_CORE,46,28,1.440,1783954075679985.666	,1783954075679987.106	
0,N/A,MEMCPY_ASYNC,46,29,2.400,1783954075680924.086	,1783954075680926.486	
0,N/A,MEMCPY_ASYNC,46,30,1.840,1783954075680930.726	,1783954075680932.566	
0,N/A,MEMCPY_ASYNC,46,31,1.880,1783954075680936.886	,1783954075680938.766	
0,N/A,MEMCPY_ASYNC,46,32,1.980,1783954075680944.146	,1783954075680946.126	
